timestamp,bitcoin_price
2017-06-11,2683.5713440378
2017-06-18,2717.00310788798
2017-06-25,2531.34899878484
2017-07-02,2576.7146569746
2017-07-09,2363.51568155487
2017-07-16,2303.88935545646
2017-07-23,2720.10226250836
2017-07-30,2777.36799394604
2017-08-06,3367.9053870882094
2017-08-13,4149.30875941234
2017-08-20,4069.0802390251
2017-08-27,4553.80652713686
2017-09-03,4447.87559221093
2017-09-10,3883.6520013494196
2017-09-17,3763.4114062788694
2017-09-24,4130.41524600294
2017-10-01,4347.54723950876
2017-10-08,4807.92589489803
2017-10-15,5696.38014134367
2017-10-22,5775.51666530736
2017-10-29,6714.788986719021
2017-11-05,7166.74137167631
2017-11-12,7297.66883633256
2017-11-19,8220.50996617654
2017-11-26,10257.0674169803
2017-12-03,13876.4735794148
2017-12-10,17106.5051488871
2017-12-17,17059.8883502646
2017-12-24,15067.899498056702
2017-12-31,15583.8855377593
2018-01-07,15509.270126816802
2018-01-14,11758.4693327652
2018-01-21,11225.2544568853
2018-01-28,10114.495086226
2018-02-04,8208.57208449673
2018-02-11,8911.3985742083
2018-02-18,10523.429305801
2018-02-25,10355.5781264856
2018-03-04,10727.716249205
2018-03-11,8890.86580399612
2018-03-18,8736.38576909829
2018-03-25,7930.7795409275495
2018-04-01,6855.422304606751
2018-04-08,6925.10199547663
2018-04-15,8097.41823310301
2018-04-22,8881.39170434545
2018-04-29,9249.65952508923
2018-05-06,9248.96039558449
2018-05-13,8473.34864905366
2018-05-20,8009.299506782799
2018-05-27,7380.8515577098
2018-06-03,7569.011339885419
2018-06-10,6644.72067973844
2018-06-17,6677.53340291194
2018-06-24,6159.70719379414
2018-07-01,6537.74087162192
2018-07-08,6373.234804689936
2018-07-15,7303.373059795855
2018-07-22,7929.079243602936
2018-07-29,7738.249304586212
2018-08-05,6711.73242235858
2018-08-12,6283.99625058153
2018-08-19,6467.271730309675
2018-08-26,7024.14510718162
2018-09-02,7211.270767868822
2018-09-09,6308.135474616629
2018-09-16,6491.885242276883
2018-09-23,6634.765964572905
2018-09-30,6598.841259755176
2018-10-07,6584.832153052514
2018-10-14,6517.511087710534
2018-10-21,6481.443589558082
2018-10-28,6379.972972168429
2018-11-04,6415.443408541094
2018-11-11,6394.289276264062
2018-11-18,4613.44841218385
2018-11-25,4009.6895798259998
2018-12-02,3878.8392347832714
2018-12-09,3424.7058606626006
2018-12-16,3655.775045729801
2018-12-23,3854.4210969825917
2018-12-30,3794.2642537397164
2019-01-06,3973.5912546157865
2019-01-13,3597.79325177015
2019-01-20,3564.822417111422
2019-01-27,3457.882649175986
2019-02-03,3464.003508861087
2019-02-10,3631.444539729949
2019-02-17,3915.0099712770552
2019-02-24,3815.6076075249844
2019-03-03,3852.4616657854863
2019-03-10,3876.6987080329523
2019-03-17,3989.1584912154526
2019-03-24,4008.945386314754
2019-03-31,4862.230427766917
2019-04-07,5172.1752647597095
2019-04-14,5213.598376962082
2019-04-21,5311.164840299274
2019-04-28,5292.803974562054
2019-05-05,5841.053771273751
2019-05-12,7805.98164948938
2019-05-19,7958.3655260750875
2019-05-26,8631.080577844017
2019-06-02,8036.108159122215
2019-06-09,8002.729982894048
2019-06-16,9285.928674251472
2019-06-23,11178.682998186501
2019-06-30,10987.248856214646
2019-07-07,11804.562793905448
2019-07-14,10536.565849576118
2019-07-21,9936.380762347033
2019-07-28,9568.437452164315
2019-08-04,11818.525531066103
2019-08-11,10903.6549918801
2019-08-18,10309.872435928555
2019-08-25,10090.061576030994
2019-09-01,10350.748325717243
2019-09-08,10355.626898620032
2019-09-15,10253.232374680329
2019-09-22,8702.713528026236
2019-09-29,8225.11037185192
2019-10-06,8182.251593084191
2019-10-13,8175.8631121051185
2019-10-20,8045.294246807262
2019-10-27,9233.413801605904
2019-11-03,9300.373963047077
2019-11-10,8770.78082523136
2019-11-17,8138.831605359057
2019-11-24,7309.689243566323
2019-12-01,7373.7824985776515
2019-12-08,7247.350277010915
2019-12-15,7108.563021778045
2019-12-22,7247.62371236525
2019-12-29,7240.428912251818
2020-01-05,7832.795643840387
2020-01-12,8720.91950137424
2020-01-19,8665.436914096897
2020-01-26,9276.893821086494
2020-02-02,9363.22420680057
2020-02-09,10221.260309201634
2020-02-16,9723.605026422496
2020-02-23,9345.342701734848
2020-03-01,8758.646993191916
2020-03-08,7921.33200691072
2020-03-15,5389.41577503409
2020-03-22,6456.347485963419
2020-03-29,6421.70541388854
2020-04-05,7196.782202442051
2020-04-12,6878.781212589853
2020-04-19,7127.511949689152
2020-04-26,7774.281554448049
2020-05-03,9003.240557621584
2020-05-10,9283.08601265873
2020-05-17,9526.50759300584
2020-05-24,9170.361063506127
2020-05-31,9645.227869360308
2020-06-07,9738.603356828593
