timestamp,unlockNative,unlock%CS,CS,TS,days since TGE,total%unlocked
2024-02-16,1030390.1400003433,0.0004222048433747199,2440498151.9500003,3000000000.0,1282,0.8134993839833334
2024-02-17,1030390.1399998665,0.00042202666167393265,2441528542.09,3000000000.0,1283,0.8138428473633333
2024-02-18,1030390.1399998665,0.0004218486303047534,2442558932.23,3000000000.0,1284,0.8141863107433334
2024-02-19,1030390.1500000954,0.00042167075316752446,2443589322.38,3000000000.0,1285,0.8145297741266667
2024-02-20,1030390.1500000954,0.0004214930218875303,2444619712.53,3000000000.0,1286,0.8148732375100001
2024-02-21,1030390.1399998665,0.0004213154362821379,2445650102.67,3000000000.0,1287,0.81521670089
2024-02-22,1030390.1399993896,0.00042113800433990955,2446680492.8099995,2999999999.9999995,1288,0.81556016427
2024-02-23,1030390.1500005722,0.0004209607258658459,2447710882.96,3000000000.0,1289,0.8159036276533334
2024-02-24,1030390.1500000954,0.0004207835924991203,2448741273.11,3000000000.0,1290,0.8162470910366667
2024-02-25,1030390.1399998665,0.0004206066040591289,2449771663.25,3000000000.0,1291,0.8165905544166666
2024-02-26,1030390.1300001144,0.0004204297644434653,2450802053.38,3000000000.0,1292,0.8169340177933334
2024-02-27,1030390.1499996185,0.00042025308569460207,2451832443.5299997,3000000000.0,1293,0.8172774811766665
2024-02-28,1030390.1400003433,0.0004200765431545401,2452862833.67,3000000000.0,1294,0.8176209445566667
2024-02-29,1030390.1399998665,0.00041990015294962466,2453893223.81,3000000000.0,1295,0.8179644079366667
2024-03-01,1030390.1600003242,0.00041972391895893666,2454923613.9700003,3000000000.0,1296,0.8183078713233334
2024-03-02,1030390.1399993896,0.0004195478165613233,2455954004.1099997,2999999999.9999995,1297,0.8186513347033334
2024-03-03,1030390.1400003433,0.00041937187000932183,2456984394.25,3000000000.0,1298,0.8189947980833333
2024-03-04,1030390.1499996185,0.00041919607503546253,2458014784.3999996,2999999999.9999995,1299,0.8193382614666667
2024-03-05,1030390.1400003433,0.0004190204192540272,2459045174.54,3000000000.0,1300,0.8196817248466667
2024-03-06,1030390.1399998665,0.00041884491468208087,2460075564.68,3000000000.0,1301,0.8200251882266666
2024-03-07,1030390.1400003433,0.00041866955706736477,2461105954.82,3000000000.0,1302,0.8203686516066667
2024-03-08,1030390.1399998665,0.00041849434622460204,2462136344.96,3000000000.0,1303,0.8207121149866666
2024-03-09,1030390.1599998474,0.0004183192900864054,2463166735.12,3000000000.0,1304,0.8210555783733333
2024-03-10,1030390.1300001144,0.00041814436006030906,2464197125.25,3000000000.0,1305,0.82139904175
2024-03-11,1030390.1400003433,0.0004179695924890466,2465227515.3900003,3000000000.0000005,1306,0.82174250513
