timestamp,unlockNative,unlock%CS,CS,TS,days since TGE,total%unlocked
2021-03-16,63126.08999999985,0.006113523424101651,10325647.85,100000000.0,20,0.1032564785
2021-03-17,63126.080000000075,0.00607637440427006,10388773.93,100000000.0,21,0.1038877393
2021-03-18,63126.08999999985,0.006039676028206004,10451900.02,99999999.99999999,22,0.10451900020000002
2021-03-19,63126.10000000149,0.006003418277766626,10515026.120000001,100000000.0,23,0.10515026120000001
2021-03-20,63126.07999999821,0.0059675904455220655,10578152.2,100000000.0,24,0.10578152199999999
2021-03-21,63126.08999999985,0.0059321905018987955,10641278.29,100000000.0,25,0.10641278289999999
2021-03-22,63126.08000000194,0.005897206216995886,10704404.370000001,100000000.0,26,0.10704404370000001
2021-03-23,63126.08999999799,0.005862633984134371,10767530.459999999,99999999.99999999,27,0.10767530460000001
2021-03-24,63126.09000000171,0.005828463833986289,10830656.55,100000000.0,28,0.10830656550000001
2021-03-25,63126.080000000075,0.00579468878203604,10893782.63,100000000.0,29,0.10893782630000001
2021-03-26,63126.09999999963,0.005761305634239743,10956908.73,100000000.00000001,30,0.10956908729999999
2021-03-27,63126.08999999985,0.005728302226907106,11020034.82,100000000.0,31,0.1102003482
2021-03-28,63126.080000000075,0.005695674778122194,11083160.9,100000000.0,32,0.110831609
2021-03-29,63126.08999999799,0.005663418684323505,11146286.989999998,99999999.99999999,33,0.1114628699
2021-03-30,63126.09000000171,0.00563152500041525,11209413.08,100000000.0,34,0.1120941308
2021-03-31,63126.080000000075,0.005599987642890572,11272539.16,100000000.0,35,0.1127253916
2021-04-01,63126.08999999985,0.00556880329542193,11335665.25,100000000.0,36,0.1133566525
2021-04-02,63126.09999999963,0.005537964338648907,11398791.35,100000000.0,37,0.1139879135
2021-04-03,63126.080000000075,0.005507462463023525,11461917.43,100000000.0,38,0.1146191743
2021-04-04,63126.08999999985,0.005477297321303291,11525043.52,100000000.0,39,0.1152504352
