timestamp,open,high,low,close,volume
2022-12-25,1.4147125528892808e-07,1.4156276958467091e-07,6.875300978607657e-09,2.7261074002240206e-08,217079.7820942318
2022-12-26,2.693465422530644e-08,3.5069540109137086e-08,1.7342004910944202e-08,2.5457596700365605e-08,89815.37538070366
2022-12-27,2.5717448844849305e-08,2.5848023045218766e-08,2.1432950425970422e-08,2.274312526714124e-08,26756.581375209425
2022-12-28,2.2716472767274847e-08,1.0483992129085753e-07,2.1463753966869488e-08,7.506948265812216e-08,525850.7299458421
2022-12-29,7.553420559915415e-08,1.4372370611921564e-07,7.304191765601083e-08,9.323203236274496e-08,906642.2542100674
2022-12-30,9.229328938934895e-08,1.5575030420938926e-07,9.057689704145176e-08,1.4671370183763684e-07,611546.7532178147
2022-12-31,1.4641602018421182e-07,2.0927956389130747e-07,1.3263210179010576e-07,1.9530313931908365e-07,829531.530744762
2023-01-01,1.9593545708162283e-07,4.1738467051355565e-07,1.9593545708162283e-07,3.653654127002729e-07,3312567.7638017964
2023-01-02,3.702890269464576e-07,9.716547664590035e-07,3.2001523124798185e-07,8.045117051368837e-07,11358292.553324435
2023-01-03,8.048856143320931e-07,1.2763070362432798e-06,5.307476692609124e-07,1.2625380121479616e-06,16028256.17957472
2023-01-04,1.2590535712169774e-06,3.437450152163095e-06,1.1308901315836361e-06,3.4304252455303805e-06,40121211.73240613
2023-01-05,3.4412040539804334e-06,4.7994366906047e-06,1.9754590863977574e-06,2.822032367225948e-06,65942349.434857465
2023-01-06,2.833766551470767e-06,2.842227666200861e-06,1.3485883873096596e-06,2.0058933530913593e-06,43886322.40514332
2023-01-07,1.9992171561926685e-06,2.275498938857935e-06,1.6513392552316967e-06,2.0200303436006867e-06,39011492.77431655
2023-01-08,2.0220892805867416e-06,2.0830766487090534e-06,1.4891768808130824e-06,1.6445869431053585e-06,28153029.26329664
2023-01-09,1.6422648107141339e-06,1.7865569582601576e-06,1.5371209502260255e-06,1.606416298392635e-06,26928343.26361133
2023-01-10,1.6052333565386204e-06,1.6812688981024456e-06,1.4909639367400722e-06,1.5043619933318398e-06,19826428.343866818
2023-01-11,1.5073273058488121e-06,1.6056786562972586e-06,8.007399126673997e-07,8.87739239243937e-07,16947600.49645234
2023-01-12,8.891220692991638e-07,1.1507150259262475e-06,8.469193997185816e-07,1.012002491145596e-06,29759866.16019296
2023-01-13,1.0125138656223653e-06,1.0472958625716275e-06,8.743715564222334e-07,9.105636763231736e-07,10342209.611328242
2023-01-14,9.134904287624844e-07,1.3424614380827686e-06,8.942720996401221e-07,1.205211399792899e-06,28152761.39905144
2023-01-15,1.2072060097496264e-06,1.5483021532599626e-06,1.0704393001769886e-06,1.401293356372649e-06,23391093.31736105
2023-01-16,1.4026097219496475e-06,1.5020739431370643e-06,1.2470533654268117e-06,1.3211054763056695e-06,17526170.288872533
2023-01-17,1.3247252292738097e-06,1.4020351505270494e-06,1.2514997606980267e-06,1.3260340758796216e-06,10193635.52432606
2023-01-18,1.3283782600957295e-06,1.3399551550283654e-06,1.0944698145452404e-06,1.0968873705293812e-06,13851239.212353412
2023-01-19,1.1063565495127757e-06,1.2152156091383467e-06,1.0570893630049167e-06,1.181745976129713e-06,8702535.789836656
2023-01-20,1.182208643421261e-06,1.330578208856065e-06,1.139212503961396e-06,1.2923692551019718e-06,8691382.460103879
2023-01-21,1.2941395460644805e-06,1.3805657656970789e-06,1.1607859150832066e-06,1.1726944360351573e-06,12350822.92236061
2023-01-22,1.1704619164857043e-06,1.2501277236805901e-06,1.1321432696758767e-06,1.1602790400628718e-06,9043350.81274515
2023-01-23,1.1617849689312138e-06,1.212056366330874e-06,1.1315127753819178e-06,1.1546547954384075e-06,7105902.828623995
2023-01-24,1.1539606376424683e-06,1.1539646890479162e-06,9.326621877878168e-07,9.86997661752442e-07,8846012.904983478
2023-01-25,9.861973801257855e-07,1.1015263248907644e-06,9.597538123137174e-07,1.0623204582892976e-06,8898253.651768295
2023-01-26,1.062402312252824e-06,1.0970127164869537e-06,9.9949125442555e-07,1.0381020717346406e-06,6321500.460351033
2023-01-27,1.0364929410612238e-06,1.08781594346493e-06,9.696633582204135e-07,1.0598224247461975e-06,4497089.5165314125
2023-01-28,1.059719766125115e-06,1.10057650846439e-06,1.002673032938414e-06,1.0073966499988984e-06,4910857.445176058
2023-01-29,1.0077511945958874e-06,1.052448490441226e-06,9.836121040939638e-07,1.0456583803078992e-06,5259287.400884984
2023-01-30,1.0439822118666096e-06,1.0439822118666096e-06,8.130713141323159e-07,8.717177657592026e-07,6913655.422889895
2023-01-31,8.707541803422641e-07,9.160341427048876e-07,8.417474700929059e-07,8.799703864039793e-07,5128620.292089031
2023-02-01,8.759536016063728e-07,9.058980354115012e-07,7.29460444548154e-07,8.73263195647623e-07,7090695.737148893
2023-02-02,8.734342978620886e-07,9.113999315485295e-07,8.358512776012369e-07,8.405444999095368e-07,6166964.946191218
2023-02-03,8.414151887958721e-07,1.1573881146100712e-06,8.203608460873184e-07,1.046386397490561e-06,9074604.102083016
2023-02-04,1.0493447795460794e-06,1.2989088103115848e-06,9.977353387363627e-07,1.147678411710147e-06,13059359.682678692
2023-02-05,1.146848053077817e-06,1.250801975263654e-06,9.975158013368064e-07,1.08116231359161e-06,11446362.67270041
2023-02-06,1.081642997485614e-06,1.1106689315991884e-06,9.948823024966878e-07,1.0517334310432036e-06,7127735.122247421
2023-02-07,1.0510450417038535e-06,1.0755050943263618e-06,1.027515271130744e-06,1.0658811973907498e-06,4701167.553533352
2023-02-08,1.0665348358575621e-06,1.0926290346618542e-06,9.624677839260004e-07,9.91609011298851e-07,4516209.454699029
2023-02-09,9.914458410774867e-07,9.91959009347164e-07,8.01319243083928e-07,8.324060089178561e-07,5790885.615981041
2023-02-10,8.318369100751116e-07,8.915829416807525e-07,8.235017988067982e-07,8.781055416556306e-07,4769566.854625859
2023-02-11,8.78216065422978e-07,9.178826741666218e-07,8.586623361734576e-07,8.89544088587304e-07,3257074.5377456266
2023-02-12,8.893646056627414e-07,9.042605686705616e-07,8.468708176793741e-07,8.660617830407976e-07,3256254.3769892175
2023-02-13,8.665841171255133e-07,8.726206324104261e-07,7.720020886152346e-07,8.196818922576356e-07,3350761.841632369
2023-02-14,8.195305227714421e-07,8.514299361829218e-07,8.014307230559307e-07,8.142409831788264e-07,2918149.0373454075
2023-02-15,8.14313097491558e-07,9.943269527286128e-07,7.991516468768874e-07,9.526857013980214e-07,5315753.359798633
2023-02-16,9.52841495964453e-07,1.047102878789362e-06,8.308878688357184e-07,8.463358260666889e-07,7570137.287316468
2023-02-17,8.450254176974107e-07,9.204429460759834e-07,8.404158862407951e-07,8.775308709346404e-07,4007934.7443775698
2023-02-18,8.75994471223021e-07,9.180439022768826e-07,8.659548724788906e-07,8.794442255758153e-07,3064223.5886163097
2023-02-19,8.800170852849925e-07,9.205510537174747e-07,8.438294438571379e-07,8.616809846090227e-07,3208654.4284154586
2023-02-20,8.640509408990424e-07,9.080253796766936e-07,8.383455515098436e-07,8.724708328105327e-07,3459241.541493312
2023-02-21,8.721418147717255e-07,8.856436108889037e-07,8.099446710400742e-07,8.146089245437916e-07,2496371.6805070564
2023-02-22,8.147907405227529e-07,8.316389913409974e-07,7.912118679233702e-07,8.121343665216356e-07,2313082.4820774132
2023-02-23,8.123712287017633e-07,8.365555009279495e-07,7.89848985378488e-07,8.074445044784717e-07,2510394.5424854094
2023-02-24,8.074520204257083e-07,8.117602811296094e-07,7.537385473159962e-07,7.676277159796045e-07,2057994.3632744094
2023-02-25,7.681269667204375e-07,7.759747913343772e-07,7.382141717074941e-07,7.647467708766857e-07,1307881.8764458187
2023-02-26,7.641819756371341e-07,7.848205707458693e-07,7.495023721423997e-07,7.773101660894754e-07,1239803.5415656434
2023-02-27,7.785805333939145e-07,7.799747994122518e-07,7.259291913133625e-07,7.343222631923861e-07,1658907.571687661
2023-02-28,7.33393828842641e-07,7.415777394388358e-07,6.961576023055417e-07,7.073064977260702e-07,2151568.455823331
2023-03-01,7.074287287665843e-07,7.334011119461946e-07,6.840731574608962e-07,7.052287622591875e-07,2217947.887229546
2023-03-02,7.04592826863317e-07,7.094739403902001e-07,6.556058989346645e-07,6.740315139759645e-07,2177849.3299976373
2023-03-03,6.740407007086934e-07,6.753878935696883e-07,5.303986907499021e-07,5.913400449839053e-07,4029699.09401399
2023-03-04,5.916972094155741e-07,6.517856570530313e-07,5.480678916686815e-07,5.614901592820412e-07,2936744.3990770206
2023-03-05,5.616102964179945e-07,6.156264403455891e-07,5.528850438438249e-07,5.822772298824336e-07,2471898.2005992876
2023-03-06,5.815389262730595e-07,5.953814952548492e-07,5.736345687303776e-07,5.851888001353423e-07,1516091.7472257006
2023-03-07,5.846484958019397e-07,6.049805326623985e-07,5.39066138931189e-07,5.640956189712578e-07,2146345.5676120967
2023-03-08,5.639484151957895e-07,5.727658613052632e-07,4.661934073837662e-07,4.787456353212267e-07,2219409.5059772027
2023-03-09,4.78057301645123e-07,4.951012454769006e-07,4.096984686262617e-07,4.3559880486333707e-07,1598141.6040685254
2023-03-10,4.360468836819656e-07,4.3733597787069867e-07,3.761534716502502e-07,4.115527868945774e-07,2602332.996594226
2023-03-11,4.1179323237185036e-07,4.995502406338468e-07,3.8678974599530015e-07,4.694585050904989e-07,2055099.647606939
2023-03-12,4.696135275913879e-07,4.919237759058098e-07,4.1948137196422926e-07,4.838112674474613e-07,1169316.1922631678
2023-03-13,4.84613928401572e-07,5.607203123659061e-07,4.5000047752657356e-07,5.567494131038831e-07,2084082.8435582628
2023-03-14,5.599761630501135e-07,6.314531223834095e-07,5.449004565151536e-07,6.273461921594463e-07,2771807.906091852
2023-03-15,6.246696492424936e-07,7.015470457517428e-07,5.647882874076747e-07,6.190895898785077e-07,3435416.5056732222
2023-03-16,6.198434176229242e-07,6.498186708272468e-07,5.64576959530845e-07,6.493069370231732e-07,1496469.9539354304
2023-03-17,6.489577142946173e-07,6.672541728052538e-07,6.079548011316846e-07,6.596678062263917e-07,1500485.6747605354
2023-03-18,6.589895981771453e-07,6.685999235111962e-07,6.133540777927932e-07,6.2675915019407e-07,1382860.7301713217
2023-03-19,6.253793854829391e-07,7.444742147320344e-07,6.019757054932967e-07,7.321159829405402e-07,2301686.5389674306
2023-03-20,7.313642049130204e-07,7.340207962122942e-07,6.470972344878389e-07,6.663021585651132e-07,1887072.1060095876
2023-03-21,6.657703590582489e-07,7.09951092911186e-07,6.535413644312295e-07,6.923286564228392e-07,1796038.6172768231
2023-03-22,6.905647239223464e-07,6.921664696061671e-07,5.731318744442138e-07,6.006504452993661e-07,1626621.7813523998
2023-03-23,6.009639127402614e-07,6.252457055993737e-07,5.687063343004431e-07,5.984910883682489e-07,1858187.0756028327
2023-03-24,5.98314803036898e-07,6.177128861286615e-07,5.63783337889829e-07,5.697049819500644e-07,1066382.3186686486
2023-03-25,5.702908675156047e-07,5.755740792803312e-07,5.297943963492089e-07,5.49483019491275e-07,804798.1116333656
2023-03-26,5.485321526844638e-07,5.65845768894196e-07,5.416632013852872e-07,5.469597404254485e-07,922770.4164743425
2023-03-27,5.465014489649279e-07,5.55571870900403e-07,4.911414565639701e-07,5.031709553998549e-07,837411.2435609383
2023-03-28,5.045075725418158e-07,5.166778673862201e-07,4.769069027278142e-07,4.99634349693019e-07,1433163.6383332903
2023-03-29,4.999946888653073e-07,6.130142490686204e-07,4.979111047845064e-07,5.638475106558089e-07,1742855.1734086028
2023-03-30,5.652928617875243e-07,5.912088517622908e-07,5.513407333406774e-07,5.738149817014742e-07,1838112.9248364256
2023-03-31,5.736213885313499e-07,6.688247250775578e-07,5.644574356575715e-07,6.393702524468518e-07,1994249.8394822902
2023-04-01,6.391301904250412e-07,6.831265227953787e-07,6.31016782041397e-07,6.68748571059309e-07,1280744.911031025
2023-04-02,6.686940799709116e-07,6.814627768219593e-07,6.11801483266759e-07,6.235784025753314e-07,926470.8800030731
2023-04-03,6.205202977500281e-07,6.545431181395709e-07,5.875496407780211e-07,6.278876116107864e-07,1907389.5810571685
2023-04-04,6.279343879589139e-07,6.341401285419338e-07,6.077672655170631e-07,6.236844134655911e-07,904578.3775229799
2023-04-05,6.245538966338577e-07,6.325635927322039e-07,5.921312859012202e-07,5.999736696102096e-07,928700.5058528488
2023-04-06,6.006511118706141e-07,6.047525526267592e-07,5.697976217539171e-07,5.893599494175175e-07,752208.8570774338
2023-04-07,5.881796108230055e-07,5.976547654244176e-07,5.218274849867546e-07,5.721350289277733e-07,1864686.198098199
2023-04-08,5.728346428724798e-07,5.787839127044965e-07,5.32948417239142e-07,5.538031358748998e-07,654245.6839267164
2023-04-09,5.548756603696215e-07,5.633467202308326e-07,5.339489027088195e-07,5.610388935319012e-07,875713.1707918772
2023-04-10,5.609139057697311e-07,6.376314884428967e-07,5.575087965494649e-07,6.291193614279097e-07,1107496.0677811045
2023-04-11,6.260128619745749e-07,6.747633043667929e-07,6.066415384682383e-07,6.533895916625891e-07,1828083.361667636
2023-04-12,6.532664512875278e-07,7.624666202726377e-07,6.081931827368763e-07,7.428216109462935e-07,2930526.7882416067
2023-04-13,7.414688501120305e-07,8.655249704760964e-07,7.322602490898928e-07,8.437936316147578e-07,4991849.0055669965
2023-04-14,8.428921285433944e-07,9.531545165406438e-07,7.820042157258841e-07,8.314650904875223e-07,4098112.7296836814
2023-04-15,8.306264570015293e-07,8.431548672134704e-07,7.839785209683157e-07,8.240748925029387e-07,1576196.490872319
2023-04-16,8.233561430902179e-07,1.0258992120999104e-06,7.987401638031576e-07,9.66689815897596e-07,3227235.7126962915
2023-04-17,9.626896132165736e-07,9.813157562449562e-07,8.968023775624616e-07,9.300230105382013e-07,2746050.8185301446
2023-04-18,9.284484973946882e-07,9.812308054598411e-07,8.804949550826362e-07,9.5242037085653e-07,2585167.1773077045
2023-04-19,9.524058550331208e-07,9.575423996087966e-07,8.141080486965887e-07,8.185993409835927e-07,2843617.4140367177
2023-04-20,8.186814207100847e-07,8.327839849315105e-07,6.751404968858217e-07,7.159982652164882e-07,3524302.841519378
2023-04-21,7.157937098861572e-07,7.523896495964999e-07,7.033900137247921e-07,7.21206892299498e-07,2012096.7051865063
2023-04-22,7.216900041132951e-07,7.315856342132863e-07,6.725454704810972e-07,7.288288206598708e-07,1919533.2686154605
2023-04-23,7.280327495161276e-07,7.295261407740117e-07,6.521915332759685e-07,6.657901890324314e-07,1674139.0887335998
2023-04-24,6.658006285465912e-07,6.84590305436587e-07,6.138699415127923e-07,6.219322308508191e-07,2265583.149950755
2023-04-25,6.211173446426232e-07,6.570397875328625e-07,6.052350821000394e-07,6.553245755418231e-07,1395449.5910841986
2023-04-26,6.544651267447363e-07,6.742276876010798e-07,6.019239595275183e-07,6.194063395990284e-07,2691875.7799305166
2023-04-27,6.182403313970501e-07,6.504303261784252e-07,6.107546633367953e-07,6.255604943282588e-07,1759611.3330276185
2023-04-28,6.267144057954656e-07,6.418610831234505e-07,6.110512671077061e-07,6.279958850344046e-07,1261146.0317884935
2023-04-29,6.285687534377128e-07,6.333290085128762e-07,6.157148927953947e-07,6.210781693256432e-07,838979.284792948
2023-04-30,6.208513701310803e-07,7.367023116509744e-07,6.062775574664351e-07,6.925794058257916e-07,3242828.2539190324
2023-05-01,6.929181192205734e-07,6.953684535598484e-07,6.203636897324097e-07,6.361426000007274e-07,2897665.9490894414
2023-05-02,6.366843423079514e-07,6.443055684877199e-07,6.134982085804618e-07,6.260498691259057e-07,1454651.4606817537
2023-05-03,6.239681485416454e-07,6.282914611697906e-07,5.5310405957219e-07,5.946321984728937e-07,2011772.4953190684
2023-05-04,5.946775546622333e-07,6.163033133273183e-07,5.682249122337402e-07,5.733093962240527e-07,1674224.0488013509
2023-05-05,5.740320576853778e-07,5.845645004165187e-07,5.097366504839967e-07,5.547197760392096e-07,2269530.204457482
2023-05-06,5.541891297238987e-07,5.552985683870127e-07,4.82356360009399e-07,4.95503759299351e-07,1737582.1488627002
2023-05-07,4.946258840135469e-07,5.625188100784337e-07,4.946258840135469e-07,5.124936275181418e-07,2224524.2756938683
2023-05-08,5.123833378427981e-07,5.225904063506918e-07,4.295926068064143e-07,4.399452719089883e-07,1923227.256576546
2023-05-09,4.416108852057935e-07,4.489081696887657e-07,4.081167849122576e-07,4.439960016955593e-07,1521585.7631440153
2023-05-10,4.437819015970148e-07,4.4761093531441585e-07,3.885513731379178e-07,4.128129988273366e-07,1707724.0739262984
2023-05-11,4.119587266786684e-07,4.152254998185772e-07,3.6245841926583474e-07,3.7472927876708034e-07,1260524.3371202475
2023-05-12,3.746234989435322e-07,3.91636060575829e-07,3.529175488400289e-07,3.8800690578918524e-07,1417521.322229206
2023-05-13,3.8872372640206967e-07,4.3807505230083615e-07,3.872494050845791e-07,4.255900610197772e-07,2408894.631760405
2023-05-14,4.2526976173660783e-07,4.4543304155655444e-07,4.2268292782399413e-07,4.306756018601461e-07,938405.3953138614
2023-05-15,4.306220224328875e-07,5.100315879339412e-07,4.199795844390222e-07,4.86149784373168e-07,1808182.7807267327
2023-05-16,4.854021854633056e-07,4.864381087278374e-07,4.2294227480041754e-07,4.363897958102279e-07,1337208.983428075
2023-05-17,4.3629552981711616e-07,4.510652635430585e-07,4.1743140359588864e-07,4.3121354487231884e-07,1161686.9132808694
2023-05-18,4.309864950097073e-07,4.331053798647291e-07,4.1275409266598443e-07,4.1930694952224103e-07,782156.9477695263
2023-05-19,4.1986759362598177e-07,4.316529171606126e-07,4.096537895160375e-07,4.2737381554216045e-07,660702.2567733877
2023-05-20,4.2581948723060485e-07,4.408971246480996e-07,4.1284751888970143e-07,4.331332702633482e-07,932366.7893497483
2023-05-21,4.3305314910852114e-07,4.3349854667449295e-07,4.0489178907640047e-07,4.059997390509826e-07,616878.0189910693
2023-05-22,4.071175684133312e-07,4.0806153240168374e-07,3.8818774739107677e-07,4.0216020386838526e-07,957952.2629117727
2023-05-23,4.027575150731867e-07,4.114665588406523e-07,3.9361921910680543e-07,4.04206719450518e-07,1392755.0929162104
2023-05-24,4.0378907388110714e-07,4.0405613605139965e-07,3.6871476446524623e-07,3.9236097024131114e-07,1381368.879644879
2023-05-25,3.9211645989840143e-07,4.05750972702696e-07,3.8999435758180765e-07,4.0321879033187125e-07,931026.7936931872
2023-05-26,4.0280629240994996e-07,4.0752960100100403e-07,3.934517535936594e-07,3.994077600282971e-07,476396.8571696043
2023-05-27,3.998362819700286e-07,6.088118456335031e-07,3.8394169050983e-07,5.500487481076927e-07,4421904.470118281
2023-05-28,5.479114580035834e-07,5.517681680387372e-07,4.820273039402114e-07,5.291257035091569e-07,6045871.795827681
2023-05-29,5.309254382264095e-07,6.027097838745958e-07,4.960033975347535e-07,5.576995436189619e-07,4086012.4370572227
2023-05-30,5.584249491526485e-07,6.698138827431567e-07,5.571667779529059e-07,6.574633085815598e-07,5667887.0969109805
2023-05-31,6.581200977040029e-07,6.733745484942282e-07,4.669237901701704e-07,5.035235868579937e-07,9239207.367810244
2023-06-01,4.998260694108915e-07,5.183332935770546e-07,4.707190579644311e-07,4.7457714346114736e-07,2134189.001687294
2023-06-02,4.751083366685954e-07,4.97578566751855e-07,4.6960470911097445e-07,4.802247518676142e-07,1033530.0184856397
2023-06-03,4.797648201745405e-07,4.850854282231203e-07,4.1487119944262667e-07,4.307991453828473e-07,1757031.9774216767
2023-06-04,4.311745328647018e-07,4.846292718598006e-07,4.2001311356528303e-07,4.527151360168865e-07,1802374.8200099494
2023-06-05,4.5167529142049314e-07,4.5270493465409195e-07,3.7991003780633925e-07,3.9024418019172824e-07,1837914.6635073624
2023-06-06,3.905717058546071e-07,4.2846589437476285e-07,3.715007199278094e-07,4.105597682357168e-07,1913645.5649093986
2023-06-07,4.1132954155390395e-07,4.11608802855959e-07,3.7956946635624525e-07,3.8272548487284703e-07,865726.5163929159
2023-06-08,3.8264268982999197e-07,3.976156591571689e-07,3.7825664008808464e-07,3.8759687978287143e-07,751326.3360210728
2023-06-09,3.876402912521635e-07,3.9410345940686573e-07,3.5976956909425695e-07,3.6280563412779424e-07,898911.5891460138
2023-06-10,3.629368129506451e-07,3.6533484554037224e-07,2.701521153863524e-07,3.14154290006782e-07,1484252.3125984753
2023-06-11,3.1408606184455276e-07,3.1660438996491955e-07,3.022711796801967e-07,3.083292386250602e-07,396290.69357415114
2023-06-12,3.079005999281754e-07,3.099769350465796e-07,2.829905691410417e-07,2.9058424417951756e-07,545789.5486557545
2023-06-13,2.899420563805656e-07,2.9802691649290844e-07,2.883495899261694e-07,2.957962148073137e-07,584773.010203559
2023-06-14,2.952916348282932e-07,3.0391782741621525e-07,2.7063159878212593e-07,2.7795136327171726e-07,502515.0807981083
2023-06-15,2.7815218836947284e-07,3.0390213056633185e-07,2.766270857765468e-07,2.9009043084714306e-07,600791.9400290141
2023-06-16,2.896785594186354e-07,3.2535300724182874e-07,2.889946130701242e-07,3.185940852934173e-07,731491.3740325472
2023-06-17,3.1907359996404053e-07,3.3325357371727146e-07,3.0662820446826605e-07,3.1245031879596434e-07,527628.4905618338
2023-06-18,3.1239272191712326e-07,3.1836609765067884e-07,2.945010293393246e-07,2.9567158072010296e-07,377997.9461238183
2023-06-19,2.9605140791097364e-07,3.161934117560094e-07,2.951022305599262e-07,3.1415043475676404e-07,551144.6711006467
2023-06-20,3.1365826118943623e-07,3.252085069283524e-07,3.0296450842861593e-07,3.219395738907744e-07,706796.4380783741
2023-06-21,3.248899760606098e-07,3.7568364590812676e-07,3.218608371681603e-07,3.7003970487812476e-07,1040514.129707252
2023-06-22,3.701413107214595e-07,3.8368838468571116e-07,3.3654081082342163e-07,3.447748436078273e-07,961913.6921227891
2023-06-23,3.448660341193978e-07,4.2174038491125555e-07,3.249966418099186e-07,4.1632914924790797e-07,1787553.7083051545
2023-06-24,4.1624951576348747e-07,4.792708670316231e-07,3.6660586199105533e-07,3.718820134395119e-07,3293077.9914818765
2023-06-25,3.7050484310568423e-07,4.347296672812518e-07,3.5962098261629064e-07,3.966509490137951e-07,1555191.7182612661
2023-06-26,3.9791928111634267e-07,3.9791928111634267e-07,3.6273557003684244e-07,3.6426951359706807e-07,800986.3166645649
2023-06-27,3.64474045601108e-07,3.872248090569773e-07,3.6083630230299393e-07,3.6996296234834993e-07,643197.3206079673
2023-06-28,3.7027466743508407e-07,3.822696857970503e-07,3.2716807344805246e-07,3.4419913652590625e-07,1146293.6271524131
2023-06-29,3.450634870935357e-07,3.7744997403585977e-07,3.257273495858837e-07,3.559847688110097e-07,1236692.1252599093
2023-06-30,3.582826570363122e-07,3.856926492900485e-07,3.444590431778435e-07,3.64135053173806e-07,1344637.1183555853
2023-07-01,3.651304921461439e-07,3.702530679222428e-07,3.459612107618337e-07,3.702530679222428e-07,522217.3461138214
2023-07-02,3.711698192238178e-07,3.743362709286566e-07,3.536179469477134e-07,3.7317665257689994e-07,485321.43121825205
2023-07-03,3.710071801857344e-07,3.7792046189971285e-07,3.611299124507409e-07,3.658308541029417e-07,452526.43641436263
2023-07-04,3.6522383073799795e-07,3.7351670666070517e-07,3.533953113259048e-07,3.571872208028684e-07,378009.87022733357
2023-07-05,3.5591609811634734e-07,3.5821948247458183e-07,3.333558071824062e-07,3.4398015819005384e-07,355739.916835246
2023-07-06,3.437665792857965e-07,3.621649317998215e-07,3.2429890806074774e-07,3.446673117704763e-07,843595.6641897211
2023-07-07,3.460923131825243e-07,3.6878584223732054e-07,3.3545629693854466e-07,3.5087849012622263e-07,837366.1498085974
2023-07-08,3.5085463828856706e-07,3.6721298833992147e-07,3.4462047925707e-07,3.529474457677416e-07,505665.86806151044
2023-07-09,3.530856063105884e-07,3.579480374042112e-07,3.3947875564625925e-07,3.4516035633022847e-07,242694.4387283907
2023-07-10,3.441171897480913e-07,3.477988237321125e-07,3.2914250330977993e-07,3.4003375695114434e-07,335042.344333072
2023-07-11,3.399665364495793e-07,3.6268653849877923e-07,3.388751861841186e-07,3.4988124213116407e-07,524123.78036669164
2023-07-12,3.486140741694738e-07,3.5288426227340913e-07,3.3034160874067805e-07,3.407141675886182e-07,372332.9343155458
2023-07-13,3.3980472824421554e-07,3.809439964446172e-07,3.3477508869312797e-07,3.6636565013040487e-07,1570097.6183305415
2023-07-14,3.6546329494035245e-07,4.4633934331338595e-07,3.6218566320240607e-07,3.9315169871757287e-07,2700680.360601344
2023-07-15,3.9329077051770763e-07,4.1982515983786803e-07,3.7033669149627685e-07,3.75928738389422e-07,1073376.677408545
2023-07-16,3.7601041209933325e-07,3.788003125988128e-07,3.6069408250009214e-07,3.6428816466699826e-07,501616.8314703616
2023-07-17,3.646802971172126e-07,3.7117145458254663e-07,3.4111815637119706e-07,3.574216336613977e-07,740211.0312110758
2023-07-18,3.571376088565213e-07,3.620812963050432e-07,3.407031916442534e-07,3.511587564500825e-07,603867.1694042117
2023-07-19,3.5075739128911464e-07,3.6907099678250134e-07,3.502492825837368e-07,3.572279545561277e-07,1110560.3022373714
2023-07-20,3.5700620538332703e-07,3.707467479093396e-07,3.288902779068954e-07,3.4891302654875155e-07,1381721.7782972113
2023-07-21,3.4854009287983804e-07,3.5356866726150087e-07,3.440162445563553e-07,3.48106426436546e-07,954778.5521682728
2023-07-22,3.4838860703634215e-07,3.583395375178709e-07,3.2588745276954043e-07,3.2660453959302934e-07,1224962.95638284
2023-07-23,3.265632450044982e-07,3.5246352163078674e-07,3.224964007432188e-07,3.370934294250937e-07,1629261.0349900632
2023-07-24,3.367382818163438e-07,3.4748695053921127e-07,3.1330806851277376e-07,3.361375511954782e-07,1257655.3576282677
2023-07-25,3.3607945027262533e-07,3.451134576865669e-07,3.287047434687368e-07,3.327890598304448e-07,1289677.57286784
2023-07-26,3.3274551415625226e-07,3.618317310385498e-07,3.2984242803548323e-07,3.51964727635688e-07,1455549.26766644
2023-07-27,3.5167627123880115e-07,3.598132914849015e-07,3.3832479015527955e-07,3.4632726057485047e-07,1343299.1247924129
2023-07-28,3.462218875670763e-07,3.599613093226034e-07,3.4444708432601626e-07,3.468747559511948e-07,1395630.167628824
2023-07-29,3.464537155914101e-07,3.771491837078251e-07,3.40827705591024e-07,3.5402218668187336e-07,1252881.2515658494
2023-07-30,3.5338898738907584e-07,3.5481202032024824e-07,3.397868779527862e-07,3.440914360838455e-07,1035459.0339386582
